"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 23 17:22:21 GMT 2021","Tue Nov 23 17:22:51 GMT 2021","30320","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Tue Nov 23 17:23:58 GMT 2021","Tue Nov 23 17:24:20 GMT 2021","21772","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Tue Nov 23 17:23:13 GMT 2021","Tue Nov 23 17:23:41 GMT 2021","28123","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Tue Nov 23 17:17:17 GMT 2021","Tue Nov 23 17:18:18 GMT 2021","61377","Chrome Stable","src/tests/stable/staking.test.ts","Staking > > Actions >","","","Split stake",""
"passed","Tue Nov 23 17:13:00 GMT 2021","Tue Nov 23 17:13:20 GMT 2021","20419","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Switch account index",""
"skipped","Tue Nov 23 17:20:30 GMT 2021","Tue Nov 23 17:20:30 GMT 2021","0","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Tue Nov 23 17:10:19 GMT 2021","Tue Nov 23 17:11:01 GMT 2021","41444","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","12-words seed phrase",""
"passed","Tue Nov 23 17:12:44 GMT 2021","Tue Nov 23 17:13:14 GMT 2021","29944","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Copy private key",""
"passed","Tue Nov 23 17:13:20 GMT 2021","Tue Nov 23 17:13:57 GMT 2021","37331","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Change language setting",""
"skipped","Tue Nov 23 17:28:18 GMT 2021","Tue Nov 23 17:28:18 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > To Velas network","","","BUSD > BUSD Velas",""
"skipped","Tue Nov 23 17:16:09 GMT 2021","Tue Nov 23 17:16:09 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap:  > In Velas network: ","","","VLX Native > VLX Legacy",""
"passed","Tue Nov 23 17:19:36 GMT 2021","Tue Nov 23 17:20:30 GMT 2021","53413","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Tue Nov 23 17:10:37 GMT 2021","Tue Nov 23 17:11:05 GMT 2021","28200","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Tue Nov 23 17:14:25 GMT 2021","Tue Nov 23 17:14:58 GMT 2021","32023","Chrome Stable","src/tests/stable/staking.test.ts","Staking > > Actions >","","","Use max",""
