"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 19 14:20:15 GMT 2021","Fri Nov 19 14:20:42 GMT 2021","27390","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Add custom tokens: ","","","WAG on Velas",""
"passed","Fri Nov 19 14:20:15 GMT 2021","Fri Nov 19 14:20:43 GMT 2021","27789","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Add custom tokens: ","","","WEENUS on Ethereum",""
"passed","Fri Nov 19 14:20:43 GMT 2021","Fri Nov 19 14:21:08 GMT 2021","24609","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Add custom tokens: ","","","DAI on Heco",""
"passed","Fri Nov 19 14:20:42 GMT 2021","Fri Nov 19 14:21:08 GMT 2021","25313","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Add custom tokens: ","","","DAI on BSC",""
